time_period,time_identifier,geographic_level,country_name,country_code,region_name,region_code,la_name,old_la_code,new_la_code,school_phase,number_schools,number_schools_with_surplus,number_schools_with_deficit,PC_schools_with_surplus,PC_schools_with_deficit,total_revenue_balance_million,average_revenue_balance,revenue_balance_as_pc_total_income,total_revenue_reserve_schools_surplus_million,total_revenue_reserve_schools_deficit_million,schools_surplus_over_threshold,school_over_threshold_pc_surplus,school_surplus_over_threshold_million,school_over_threshold_av_per_school,B01_million,B02_million,B03_million,B05_million,B06_million,OB01_million,OB02_million,OB03_million,total_income_million
201516,Financial year,National,England,E92000001,,,,,,All LA maintained schools,16774,15621,1000,93.1,6,2086.82,124415,7.5,2206.68,-119.86,8003,51.2,1667.98,208419,1035.15,1015.35,137.19,47.57,36.32,2010.7,35.76,189.99,27768.93
201516,Financial year,National,England,E92000001,,,,,,Nursery,402,351,51,87.3,12.7,34.32,85373,12.1,36.96,-2.64,247,70.4,33.87,137114,14.25,15.57,3.63,0.02,4.5,28.31,5.88,3.79,283.44
201516,Financial year,National,England,E92000001,,,,,,Primary,14026,13287,627,94.7,4.5,1522.12,108529,8.4,1545.28,-23.17,6619,49.8,1120.7,169316,756.13,739.6,99.38,24.09,26.38,1419.94,25.06,131.31,18227.2
201516,Financial year,National,England,E92000001,,,,,,PRU,283,229,33,80.9,11.7,40.42,142843,9.5,43.05,-2.63,140,61.1,36.54,261033,15.74,24.64,3.45,0.15,0.05,36.85,0.05,3.75,425.62
201516,Financial year,National,England,E92000001,,,,,,Secondary,1247,1008,222,80.8,17.8,312.27,250419,4.6,394.77,-82.5,571,56.6,327.17,572977,163.51,145.62,19.31,18.19,3.14,352.16,3.27,34.11,6830.33
201516,Financial year,National,England,E92000001,,,,,,Special,816,746,67,91.4,8.2,177.69,217756,8.9,186.62,-8.93,426,57.1,149.7,351400,85.52,89.92,11.41,5.12,2.24,173.45,1.5,17.03,2002.34
201617,Financial year,National,England,E92000001,,,,,,All LA maintained schools,16106,14498,1461,90,9.1,1702.03,105683,6.4,1893.69,-191.66,6506,44.9,1372.93,211025,826.32,839.44,125.59,37.37,36.27,1977.26,34.51,178.98,26650.9
201617,Financial year,National,England,E92000001,,,,,,Nursery,402,328,73,81.6,18.2,29.21,72672,10.4,33.04,-3.83,213,64.9,29.54,138672,10.45,12.96,3.12,0.53,5.81,29.11,4.79,4.13,281.1
201617,Financial year,National,England,E92000001,,,,,,Primary,13511,12461,954,92.2,7.1,1307.23,96753,7.4,1349.36,-42.13,5392,43.3,935.8,173553,634.78,647.3,93.08,19.86,25.15,1452.08,23.48,120.62,17707.8
201617,Financial year,National,England,E92000001,,,,,,PRU,261,196,47,75.1,18,33.6,128738,8,39.38,-5.77,116,59.2,33.17,285986,14.31,19.17,3.03,0.32,0.11,38.11,0.05,3.32,419.08
201617,Financial year,National,England,E92000001,,,,,,Secondary,1158,830,304,71.7,26.3,183.29,158420,2.9,309.72,-126.43,431,51.9,248.86,577409,98.61,81.11,15.83,13.53,3.57,289.7,3.91,35.51,6273.28
201617,Financial year,National,England,E92000001,,,,,,Special,774,683,83,88.2,10.7,148.69,192106,7.5,162.2,-13.51,354,51.8,125.55,354665,68.17,78.9,10.52,3.13,1.62,168.26,2.27,15.39,1969.64
201718,Financial year,National,England,E92000001,,,,,,All LA maintained schools,15052,13336,1532,88.6,10.2,1560.74,103690,6.2,1793.99,-233.25,6164,46.2,1310.21,212559,784.29,739.65,116.06,31.63,36.8,1560.97,35.39,152,25097.38
201718,Financial year,National,England,E92000001,,,,,,Nursery,394,314,80,79.7,20.3,28.77,73032,10.2,33.64,-4.86,218,69.4,30.51,139950,10.03,15.49,3.18,0.55,3.25,23.47,6.1,3.73,281.64
201718,Financial year,National,England,E92000001,,,,,,Primary,12656,11495,1019,90.8,8.1,1251.99,98924,7.4,1302.86,-50.87,5148,44.8,918.39,178397,605.47,618.62,86.38,17.36,27.9,1205.05,23.97,105.82,16814.21
201718,Financial year,National,England,E92000001,,,,,,PRU,243,176,47,72.4,19.3,26.78,110218,6.7,36.49,-9.71,109,61.9,32.04,293902,14.51,11.84,2.87,0.38,0.43,33.49,0.42,3.32,399.72
201718,Financial year,National,England,E92000001,,,,,,Secondary,1037,705,313,68,30.2,109.5,105593,1.9,260.86,-151.36,354,50.2,206.74,584015,84.78,21.53,13.81,9.32,3.19,159.17,3.31,25.89,5667.01
201718,Financial year,National,England,E92000001,,,,,,Special,722,646,73,89.5,10.1,143.7,199025,7.4,160.14,-16.45,335,51.9,122.54,365795,69.51,72.16,9.82,4.02,2.03,139.79,1.58,13.24,1934.8
201819,Financial year,National,England,E92000001,,,,,,All LA maintained schools,13959,12459,1376,89.3,9.9,1541.75,110448,6.4,1775.01,-233.26,5979,48,1314.56,219863,827.38,681.29,218.65,46.19,33.08,1425.49,32.16,136.77,23975.72
201819,Financial year,National,England,E92000001,,,,,,Nursery,393,321,69,81.7,17.6,29.76,75728,10.4,36.48,-6.72,214,66.7,33.27,155481,12.59,15.4,4.56,0.99,1.77,25.16,3.41,3.72,286.78
201819,Financial year,National,England,E92000001,,,,,,Primary,11750,10729,927,91.3,7.9,1239.49,105488,7.7,1291.63,-52.15,5014,46.7,926.48,184779,604.9,606.48,160.19,27.57,28.11,1143.04,25.24,96.95,16160.49
201819,Financial year,National,England,E92000001,,,,,,PRU,220,172,35,78.2,15.9,27.78,126282,7.1,34.01,-6.23,98,57,29.1,296960,12.68,15.07,3.79,0.43,0.04,26.56,0.03,3.4,392.61
201819,Financial year,National,England,E92000001,,,,,,Secondary,916,645,260,70.4,28.4,105.28,114935,2,253.13,-147.85,326,50.5,201.51,618126,127.18,-23.48,34.71,11.58,1.58,96.85,1.8,19.39,5227.35
201819,Financial year,National,England,E92000001,,,,,,Special,680,592,85,87.1,12.5,139.44,205056,7.3,159.75,-20.32,327,55.2,124.19,379791,70.04,67.82,15.4,5.62,1.57,133.87,1.68,13.3,1908.5
201920,Financial year,National,England,E92000001,,,,,,All LA maintained schools,13158,11493,1575,87.3,12,1456.49,110692,6.1,1722.85,-266.36,5373,46.8,1277.2,237706,734.95,686.6,153.68,29.4,34.94,1447.38,32.22,250.93,23713.72
201920,Financial year,National,England,E92000001,,,,,,Nursery,384,304,80,79.2,20.8,27.5,71621,9.6,36.31,-8.81,204,67.1,33.41,163790,12.96,15.89,3.91,0.43,-1.35,28.11,1.56,5.51,285.29
201920,Financial year,National,England,E92000001,,,,,,Primary,11098,9883,1145,89.1,10.3,1149.08,103539,7.2,1223.13,-74.05,4468,45.2,870.97,194934,528.58,587.74,113.92,16.59,32.76,1166.55,26.27,177.44,15982.1
201920,Financial year,National,England,E92000001,,,,,,PRU,208,153,43,73.6,20.7,23.03,110737,6,31.31,-8.27,83,54.2,26.35,317461,11.43,11.6,2.84,0.26,0.01,26.96,0.02,3.94,385.44
201920,Financial year,National,England,E92000001,,,,,,Secondary,826,601,221,72.8,26.8,125.01,151343,2.5,275.23,-150.22,322,53.6,226.14,702304,117.14,5.46,21.38,8.01,2.41,92.53,2.43,43.84,5101.78
201920,Financial year,National,England,E92000001,,,,,,Special,642,552,86,86,13.4,131.86,205390,6.7,156.87,-25.01,296,53.6,120.32,406501,64.85,65.91,11.63,4.1,1.1,133.22,1.94,20.2,1959.11
202021,Financial year,National,England,E92000001,,,,,,All LA maintained schools,12655,11531,1059,91.1,8.4,2030.95,160486,8.5,2268.35,-237.4,7303,63.3,1914.84,262199,1003.41,1003.7,136.52,44.02,23.84,1352.86,33.85,175.23,23762.49
202021,Financial year,National,England,E92000001,,,,,,Nursery,382,287,94,75.1,24.6,26.26,68738,9.6,38.48,-12.23,214,74.6,36.17,169032,13.23,15.53,3.92,0.57,-2.49,29.25,-1.35,4.48,272.59
202021,Financial year,National,England,E92000001,,,,,,Primary,10686,9929,711,92.9,6.7,1532.72,143432,9.6,1596.35,-63.63,6190,62.3,1317.86,212901,703.22,803.62,100.86,14.66,25.87,1077.67,32.34,125.57,15977.08
202021,Financial year,National,England,E92000001,,,,,,PRU,193,150,33,77.7,17.1,33.45,173298,8.9,39.64,-6.19,101,67.3,35.75,353973,16.82,16.65,2.51,0.16,-0.02,22.6,0,2.76,376.55
202021,Financial year,National,England,E92000001,,,,,,Secondary,778,629,147,80.8,18.9,250.99,322615,4.9,378.9,-127.9,437,69.5,339.17,776141,180.93,70.67,17.04,24.74,-0.61,97.28,1.76,26.86,5099.95
202021,Financial year,National,England,E92000001,,,,,,Special,616,536,74,87,12,187.53,304433,9.2,214.98,-27.45,361,67.4,185.89,514920,89.21,97.23,12.18,3.9,1.09,126.06,1.09,15.56,2036.32
201516,Financial year,Regional,England,E92000001,North East,E12000001,,,,All LA maintained schools,953,866,80,90.9,8.4,100.57,105528,7.1,109.78,-9.21,481,55.5,85.09,176903,75.18,24.22,9.09,1.02,1.17,100.25,1.25,10.72,1409.82
201516,Financial year,Regional,England,E92000001,North East,E12000001,,,,Nursery,35,31,4,88.6,11.4,2.68,76570,17,2.8,-0.12,27,87.1,2.72,100742,2.16,0.33,0.33,0,0.19,2.65,0.15,0.44,15.77
201516,Financial year,Regional,England,E92000001,North East,E12000001,,,,Primary,763,711,49,93.2,6.4,77.44,101488,8.8,79.14,-1.7,387,54.4,60.97,157539,58.79,17.72,5.98,0.32,0.93,72.97,1.08,6.72,878.8
201516,Financial year,Regional,England,E92000001,North East,E12000001,,,,PRU,17,12,3,70.6,17.6,2.51,147446,10.5,2.57,-0.06,7,58.3,2.29,327663,2.03,0.48,0.23,0,0,1.52,0,0.22,23.92
201516,Financial year,Regional,England,E92000001,North East,E12000001,,,,Secondary,94,69,23,73.4,24.5,9.2,97857,2.3,16.51,-7.31,38,55.1,12.44,327243,5.51,3.81,2.11,0.7,-0.12,14.66,-0.13,2.76,394.04
201516,Financial year,Regional,England,E92000001,North East,E12000001,,,,Special,44,43,1,97.7,2.3,8.75,198807,9,8.77,-0.02,22,51.2,6.67,303361,6.7,1.88,0.44,0.01,0.17,8.44,0.15,0.58,97.29
201516,Financial year,Regional,England,E92000001,North West,E12000002,,,,All LA maintained schools,2779,2568,189,92.4,6.8,284.61,102414,6.3,306.93,-22.32,1111,43.3,206.66,186013,129.02,152.35,15.62,3.87,3.24,286.76,2.55,21.24,4487.58
201516,Financial year,Regional,England,E92000001,North West,E12000002,,,,Nursery,69,59,10,85.5,14.5,2.76,40055,7.2,3.38,-0.61,30,50.8,2.81,93720,1.09,1.16,0.27,0.05,0.51,3.18,0.58,0.37,38.58
201516,Financial year,Regional,England,E92000001,North West,E12000002,,,,Primary,2277,2137,127,93.9,5.6,199.79,87741,7.2,203.87,-4.08,876,41,126.87,144833,89.92,107.67,10.33,2.04,2.19,194.11,1.86,13.45,2760.62
201516,Financial year,Regional,England,E92000001,North West,E12000002,,,,PRU,47,36,5,76.6,10.6,3.59,76282,5.1,3.93,-0.35,17,47.2,2.51,147941,1.54,2.05,0.56,0.04,0,3.41,0,0.63,70.16
201516,Financial year,Regional,England,E92000001,North West,E12000002,,,,Secondary,243,199,41,81.9,16.9,52.15,214611,4,68.38,-16.23,110,55.3,53.42,485647,24.58,27.06,2.57,1.12,0.51,59.65,0.09,3.77,1306.37
201516,Financial year,Regional,England,E92000001,North West,E12000002,,,,Special,143,137,6,95.8,4.2,26.32,184080,8.4,27.38,-1.06,78,56.9,21.04,269734,11.88,14.42,1.89,0.63,0.02,26.41,0.02,3.02,311.85
201516,Financial year,Regional,England,E92000001,Yorkshire and The Humber,E12000003,,,,All LA maintained schools,1709,1572,125,92,7.3,179.13,104814,6.5,192.08,-12.95,737,46.9,133.65,181341,95.44,76.41,11.15,2.64,7.28,168.18,7.25,13.9,2771.57
201516,Financial year,Regional,England,E92000001,Yorkshire and The Humber,E12000003,,,,Nursery,28,27,1,96.4,3.6,1.9,68017,10.8,1.91,0,17,63,1.62,95462,0.74,1.09,0.21,0.07,0.08,1.88,0.36,0.33,17.61
201516,Financial year,Regional,England,E92000001,Yorkshire and The Humber,E12000003,,,,Primary,1451,1361,79,93.8,5.4,129.84,89481,7.3,132.35,-2.51,620,45.6,86.66,139769,73.14,51.93,8.27,1.49,4.77,116.28,4.67,9.88,1767.66
